filename,filedate,filesize,disk,basedir,uri
IPBU Escalated Issues - Migrate Your Issues from cnTRAK to JIRA IPBUCE today.msg,20190222-08:21:14,641536,c:,MARL2019,Supports\salesforce
RE cnTRAK (Oracle Service Cloud) will be deprecated this Sunday.msg,20190220-17:00:27,577536,c:,MARL2019,Supports\salesforce
RE Marvell SFDC New User Training (ChinaTW).msg,20190220-16:53:07,1604608,c:,MARL2019,Supports\salesforce
readme.txt,20190318-10:55:15,2008,c:,MARL2019,Supports\salesforce
Services Data Requirements Template v5. shine -Huawei 2019-1-18.xlsx,20190220-17:01:37,1089575,c:,MARL2019,Supports\salesforce
Template to create new Salesforce Ticket.xlsx,20190209-01:45:32,9879,c:,MARL2019,Supports\salesforce
sata issue.xmind,20190306-14:11:03,75387,c:,MARL2019,Supports
CDM v2.12.28 WHQL Certified.zip,20190312-16:15:02,1682976,c:,MARL2019,Supports\SDK_EBB\A3720_DB
cn9131_dtb_failure.log,20190401-17:19:28,37719,c:,MARL2019,Supports\SDK_EBB\A3720_DB
openwrt_kernel_4.4.52_config,20190319-15:14:03,95178,c:,MARL2019,Supports\SDK_EBB\A3720_DB
test_steps_3720_doc.txt,20190319-14:25:09,1976,c:,MARL2019,Supports\SDK_EBB\A3720_DB
uboot_settings_freq,20190401-16:02:14,1098,c:,MARL2019,Supports\SDK_EBB\A3720_DB
readme.txt,20190412-08:12:20,14154,c:,MARL2019,Supports\SDK_EBB\DB-cn9131
cpt_test.txt,20190319-09:04:55,6552,c:,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX
cpt_test_log_1.1SCLK_mq.txt,20190319-09:16:18,130670,c:,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX
cpt_test_log_1.2SCLK.txt,20190313-10:11:41,123189,c:,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX
openssl-engine-all-results.log,20190228-15:14:15,39793,c:,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX
openssl-engine-compile.txt,20190225-14:51:33,1616,c:,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX
